period,stateid,stateDescription,sectorid,sectorName,price,price-units
2023-03,KS,Kansas,COM,commercial,11.2,cents per kilowatt-hour
2023-03,KS,Kansas,IND,industrial,8.16,cents per kilowatt-hour
2023-03,KY,Kentucky,COM,commercial,11.21,cents per kilowatt-hour
2023-03,KY,Kentucky,IND,industrial,6.43,cents per kilowatt-hour
2023-03,LA,Louisiana,COM,commercial,11.14,cents per kilowatt-hour
2023-03,LA,Louisiana,IND,industrial,6.35,cents per kilowatt-hour
2023-03,ME,Maine,COM,commercial,18.31,cents per kilowatt-hour
2023-03,ME,Maine,IND,industrial,12.61,cents per kilowatt-hour
2023-03,MD,Maryland,COM,commercial,12.52,cents per kilowatt-hour
2023-03,MD,Maryland,IND,industrial,9.54,cents per kilowatt-hour
2023-03,MA,Massachusetts,COM,commercial,20.53,cents per kilowatt-hour
2023-03,MA,Massachusetts,IND,industrial,18.14,cents per kilowatt-hour
2023-03,MI,Michigan,COM,commercial,13.09,cents per kilowatt-hour
2023-03,MI,Michigan,IND,industrial,8.03,cents per kilowatt-hour
2023-03,MN,Minnesota,COM,commercial,12.02,cents per kilowatt-hour
2023-03,MN,Minnesota,IND,industrial,9.09,cents per kilowatt-hour
2023-03,MS,Mississippi,COM,commercial,13,cents per kilowatt-hour
2023-03,MS,Mississippi,IND,industrial,7.07,cents per kilowatt-hour
2023-03,MO,Missouri,COM,commercial,9.39,cents per kilowatt-hour
2023-03,MO,Missouri,IND,industrial,7.55,cents per kilowatt-hour
2023-03,MT,Montana,COM,commercial,11.99,cents per kilowatt-hour
2023-03,MT,Montana,IND,industrial,8.33,cents per kilowatt-hour
2023-12,MT,Montana,COM,commercial,12.05,cents per kilowatt-hour
2023-12,MT,Montana,IND,industrial,7.04,cents per kilowatt-hour
2023-12,NE,Nebraska,COM,commercial,8.51,cents per kilowatt-hour
2023-12,NE,Nebraska,IND,industrial,7.32,cents per kilowatt-hour
2023-12,NV,Nevada,COM,commercial,10.98,cents per kilowatt-hour
2023-12,NV,Nevada,IND,industrial,8.14,cents per kilowatt-hour
2023-12,NH,New Hampshire,COM,commercial,19.56,cents per kilowatt-hour
2023-12,NH,New Hampshire,IND,industrial,16.44,cents per kilowatt-hour
2023-02,NEW,New England,COM,commercial,21.1,cents per kilowatt-hour
2023-02,NEW,New England,IND,industrial,16.42,cents per kilowatt-hour
2023-02,MAT,Middle Atlantic,COM,commercial,14.43,cents per kilowatt-hour
2023-02,MAT,Middle Atlantic,IND,industrial,8.15,cents per kilowatt-hour
2023-02,ENC,East North Central,COM,commercial,11.97,cents per kilowatt-hour
2023-02,ENC,East North Central,IND,industrial,8.31,cents per kilowatt-hour
2023-02,WNC,West North Central,COM,commercial,9.89,cents per kilowatt-hour
2023-02,WNC,West North Central,IND,industrial,7.46,cents per kilowatt-hour
2023-02,SAT,South Atlantic,COM,commercial,11.2,cents per kilowatt-hour
2023-02,SAT,South Atlantic,IND,industrial,7.64,cents per kilowatt-hour
2023-02,ESC,East South Central,COM,commercial,12.82,cents per kilowatt-hour
2023-02,ESC,East South Central,IND,industrial,7.11,cents per kilowatt-hour
2023-02,WSC,West South Central,COM,commercial,9.49,cents per kilowatt-hour
2022-01,AR,Arkansas,COM,commercial,9.14,cents per kilowatt-hour
2022-01,AR,Arkansas,IND,industrial,6.31,cents per kilowatt-hour
2022-01,CA,California,COM,commercial,18.54,cents per kilowatt-hour
2022-01,CA,California,IND,industrial,13.58,cents per kilowatt-hour
2022-01,CO,Colorado,COM,commercial,10.37,cents per kilowatt-hour
2022-01,CO,Colorado,IND,industrial,8.13,cents per kilowatt-hour
2022-01,CT,Connecticut,COM,commercial,17.65,cents per kilowatt-hour
2022-01,CT,Connecticut,IND,industrial,14.79,cents per kilowatt-hour
2022-01,DE,Delaware,COM,commercial,9.74,cents per kilowatt-hour
2022-01,DE,Delaware,IND,industrial,8.19,cents per kilowatt-hour
2022-01,DC,District of Columbia,COM,commercial,14.89,cents per kilowatt-hour
2022-01,DC,District of Columbia,IND,industrial,8.36,cents per kilowatt-hour
2022-01,FL,Florida,COM,commercial,10.8,cents per kilowatt-hour
2022-01,FL,Florida,IND,industrial,8.19,cents per kilowatt-hour
2022-01,GA,Georgia,COM,commercial,10.45,cents per kilowatt-hour
2022-01,GA,Georgia,IND,industrial,6.39,cents per kilowatt-hour
2022-01,HI,Hawaii,COM,commercial,35.93,cents per kilowatt-hour
2022-01,HI,Hawaii,IND,industrial,32.15,cents per kilowatt-hour
2022-01,ID,Idaho,COM,commercial,7.78,cents per kilowatt-hour
2022-01,ID,Idaho,IND,industrial,5.44,cents per kilowatt-hour
2022-01,IL,Illinois,COM,commercial,9.55,cents per kilowatt-hour
2022-01,IL,Illinois,IND,industrial,7.47,cents per kilowatt-hour
2022-01,IN,Indiana,COM,commercial,11.65,cents per kilowatt-hour
2022-01,IN,Indiana,IND,industrial,7.61,cents per kilowatt-hour
2022-01,IA,Iowa,COM,commercial,9.23,cents per kilowatt-hour
2022-01,IA,Iowa,IND,industrial,6.03,cents per kilowatt-hour
2022-01,KS,Kansas,COM,commercial,10.39,cents per kilowatt-hour
2022-01,KS,Kansas,IND,industrial,7.63,cents per kilowatt-hour
2022-01,KY,Kentucky,COM,commercial,11.16,cents per kilowatt-hour
2022-01,KY,Kentucky,IND,industrial,6.68,cents per kilowatt-hour
2022-01,LA,Louisiana,COM,commercial,10.85,cents per kilowatt-hour
2022-01,LA,Louisiana,IND,industrial,6.66,cents per kilowatt-hour
2022-01,ME,Maine,COM,commercial,13.89,cents per kilowatt-hour
2022-01,ME,Maine,IND,industrial,10.83,cents per kilowatt-hour
2022-01,MD,Maryland,COM,commercial,11.72,cents per kilowatt-hour
2022-01,MD,Maryland,IND,industrial,9.34,cents per kilowatt-hour
2022-01,MA,Massachusetts,COM,commercial,19.48,cents per kilowatt-hour
2022-01,MA,Massachusetts,IND,industrial,16.8,cents per kilowatt-hour
2024-07,OR,Oregon,COM,commercial,10.86,cents per kilowatt-hour
2024-07,OR,Oregon,IND,industrial,8.05,cents per kilowatt-hour
2024-07,PA,Pennsylvania,COM,commercial,10.92,cents per kilowatt-hour
2024-07,PA,Pennsylvania,IND,industrial,7.87,cents per kilowatt-hour
2024-07,RI,Rhode Island,COM,commercial,20.57,cents per kilowatt-hour
2024-07,RI,Rhode Island,IND,industrial,20.5,cents per kilowatt-hour
2024-07,SC,South Carolina,COM,commercial,10.71,cents per kilowatt-hour
2024-07,SC,South Carolina,IND,industrial,7.43,cents per kilowatt-hour
2022-11,GA,Georgia,COM,commercial,11.8,cents per kilowatt-hour
2022-11,GA,Georgia,IND,industrial,7.84,cents per kilowatt-hour
2022-11,HI,Hawaii,COM,commercial,41.62,cents per kilowatt-hour
2022-11,HI,Hawaii,IND,industrial,38.64,cents per kilowatt-hour
2022-11,ID,Idaho,COM,commercial,8.15,cents per kilowatt-hour
2022-11,ID,Idaho,IND,industrial,6.26,cents per kilowatt-hour
2022-11,IL,Illinois,COM,commercial,10.86,cents per kilowatt-hour
2022-11,IL,Illinois,IND,industrial,8.08,cents per kilowatt-hour
2022-11,IN,Indiana,COM,commercial,13.98,cents per kilowatt-hour
2022-11,IN,Indiana,IND,industrial,9.34,cents per kilowatt-hour
2022-11,IA,Iowa,COM,commercial,9.71,cents per kilowatt-hour
2022-11,IA,Iowa,IND,industrial,6.05,cents per kilowatt-hour
2022-11,KS,Kansas,COM,commercial,11.54,cents per kilowatt-hour
2022-11,KS,Kansas,IND,industrial,8.68,cents per kilowatt-hour
2022-11,KY,Kentucky,COM,commercial,12.16,cents per kilowatt-hour
2022-11,KY,Kentucky,IND,industrial,7.55,cents per kilowatt-hour
2022-11,LA,Louisiana,COM,commercial,13.21,cents per kilowatt-hour
2022-11,LA,Louisiana,IND,industrial,8.57,cents per kilowatt-hour
2022-11,ME,Maine,COM,commercial,14.65,cents per kilowatt-hour
2022-11,ME,Maine,IND,industrial,9.53,cents per kilowatt-hour
2022-11,MD,Maryland,COM,commercial,13.07,cents per kilowatt-hour
2022-11,MD,Maryland,IND,industrial,9.71,cents per kilowatt-hour
2022-11,MA,Massachusetts,COM,commercial,18.68,cents per kilowatt-hour
2022-11,MA,Massachusetts,IND,industrial,16.83,cents per kilowatt-hour
2022-11,MI,Michigan,COM,commercial,12.57,cents per kilowatt-hour
2022-11,MI,Michigan,IND,industrial,7.92,cents per kilowatt-hour
2022-11,MN,Minnesota,COM,commercial,12.09,cents per kilowatt-hour
2022-11,MN,Minnesota,IND,industrial,8.89,cents per kilowatt-hour
2022-11,MS,Mississippi,COM,commercial,12.42,cents per kilowatt-hour
2022-11,MS,Mississippi,IND,industrial,7.16,cents per kilowatt-hour
2023-12,NJ,New Jersey,COM,commercial,13.57,cents per kilowatt-hour
2023-12,NJ,New Jersey,IND,industrial,12.03,cents per kilowatt-hour
2023-12,NM,New Mexico,COM,commercial,10.11,cents per kilowatt-hour
2023-12,NM,New Mexico,IND,industrial,5.28,cents per kilowatt-hour
2023-12,NY,New York,COM,commercial,16.67,cents per kilowatt-hour
2023-12,NY,New York,IND,industrial,6.34,cents per kilowatt-hour
2023-12,NC,North Carolina,COM,commercial,10.43,cents per kilowatt-hour
2023-12,NC,North Carolina,IND,industrial,8,cents per kilowatt-hour
2023-12,ND,North Dakota,COM,commercial,6.77,cents per kilowatt-hour
2023-12,ND,North Dakota,IND,industrial,7.19,cents per kilowatt-hour
2023-12,OH,Ohio,COM,commercial,10.56,cents per kilowatt-hour
2023-12,OH,Ohio,IND,industrial,6.71,cents per kilowatt-hour
2023-04,ESC,East South Central,COM,commercial,11.9,cents per kilowatt-hour
2023-04,ESC,East South Central,IND,industrial,6.29,cents per kilowatt-hour
2023-04,WSC,West South Central,COM,commercial,8.46,cents per kilowatt-hour
2023-04,WSC,West South Central,IND,industrial,5.63,cents per kilowatt-hour
2023-04,MTN,Mountain,COM,commercial,10.66,cents per kilowatt-hour
2023-04,MTN,Mountain,IND,industrial,7.5,cents per kilowatt-hour
2023-04,PACC,Pacific Contiguous,COM,commercial,17.16,cents per kilowatt-hour
2023-04,PACC,Pacific Contiguous,IND,industrial,11.74,cents per kilowatt-hour
2023-04,PACN,Pacific Noncontiguous,COM,commercial,30.94,cents per kilowatt-hour
2023-04,PACN,Pacific Noncontiguous,IND,industrial,31.47,cents per kilowatt-hour
2023-04,US,U.S. Total,COM,commercial,12.08,cents per kilowatt-hour
2023-04,US,U.S. Total,IND,industrial,7.51,cents per kilowatt-hour
2023-07,LA,Louisiana,IND,industrial,5.44,cents per kilowatt-hour
2023-07,ME,Maine,COM,commercial,17.73,cents per kilowatt-hour
2023-07,ME,Maine,IND,industrial,12.16,cents per kilowatt-hour
2023-07,MD,Maryland,COM,commercial,12.2,cents per kilowatt-hour
2023-07,MD,Maryland,IND,industrial,9.84,cents per kilowatt-hour
2023-07,MA,Massachusetts,COM,commercial,18.72,cents per kilowatt-hour
2023-07,MA,Massachusetts,IND,industrial,17.94,cents per kilowatt-hour
2023-07,MI,Michigan,COM,commercial,13.37,cents per kilowatt-hour
2023-07,MI,Michigan,IND,industrial,8.2,cents per kilowatt-hour
2023-07,MN,Minnesota,COM,commercial,13.12,cents per kilowatt-hour
2023-07,UT,Utah,COM,commercial,8.39,cents per kilowatt-hour
2023-07,UT,Utah,IND,industrial,7.6,cents per kilowatt-hour
2023-07,VT,Vermont,COM,commercial,17.78,cents per kilowatt-hour
2023-07,VT,Vermont,IND,industrial,11.04,cents per kilowatt-hour
2023-07,VA,Virginia,COM,commercial,8.84,cents per kilowatt-hour
2023-07,VA,Virginia,IND,industrial,9.39,cents per kilowatt-hour
2023-07,WA,Washington,COM,commercial,9.71,cents per kilowatt-hour
2023-07,WA,Washington,IND,industrial,6.36,cents per kilowatt-hour
2023-07,WV,West Virginia,COM,commercial,10.82,cents per kilowatt-hour
2023-07,WV,West Virginia,IND,industrial,7.27,cents per kilowatt-hour
2022-08,VT,Vermont,COM,commercial,16.95,cents per kilowatt-hour
2022-08,VT,Vermont,IND,industrial,12.16,cents per kilowatt-hour
2022-08,VA,Virginia,COM,commercial,10.6,cents per kilowatt-hour
2022-08,VA,Virginia,IND,industrial,8.65,cents per kilowatt-hour
2022-08,WA,Washington,COM,commercial,9.45,cents per kilowatt-hour
2022-08,WA,Washington,IND,industrial,6.53,cents per kilowatt-hour
2022-01,MT,Montana,COM,commercial,10.07,cents per kilowatt-hour
2022-01,MT,Montana,IND,industrial,6.1,cents per kilowatt-hour
2022-01,NE,Nebraska,COM,commercial,8.36,cents per kilowatt-hour
2022-01,NE,Nebraska,IND,industrial,6.58,cents per kilowatt-hour
2022-01,NV,Nevada,COM,commercial,8.68,cents per kilowatt-hour
2022-01,NV,Nevada,IND,industrial,5.97,cents per kilowatt-hour
2022-01,NH,New Hampshire,COM,commercial,17.48,cents per kilowatt-hour
2022-01,NH,New Hampshire,IND,industrial,15.94,cents per kilowatt-hour
2022-01,NJ,New Jersey,COM,commercial,12.79,cents per kilowatt-hour
2022-01,NJ,New Jersey,IND,industrial,12.29,cents per kilowatt-hour
2022-01,NM,New Mexico,COM,commercial,10.16,cents per kilowatt-hour
2022-01,NM,New Mexico,IND,industrial,6.04,cents per kilowatt-hour
2022-01,NY,New York,COM,commercial,16.57,cents per kilowatt-hour
2022-01,NY,New York,IND,industrial,7.46,cents per kilowatt-hour
2022-01,NC,North Carolina,COM,commercial,7.63,cents per kilowatt-hour
2022-01,NC,North Carolina,IND,industrial,5.09,cents per kilowatt-hour
2022-01,ND,North Dakota,COM,commercial,8.53,cents per kilowatt-hour
2022-01,ND,North Dakota,IND,industrial,7.12,cents per kilowatt-hour
2022-01,OH,Ohio,COM,commercial,9.6,cents per kilowatt-hour
2022-01,OH,Ohio,IND,industrial,6.77,cents per kilowatt-hour
2022-01,OK,Oklahoma,COM,commercial,8.75,cents per kilowatt-hour
2022-01,OK,Oklahoma,IND,industrial,6.1,cents per kilowatt-hour
2022-01,OR,Oregon,COM,commercial,9.36,cents per kilowatt-hour
2022-01,OR,Oregon,IND,industrial,6.31,cents per kilowatt-hour
2022-01,PA,Pennsylvania,COM,commercial,9.55,cents per kilowatt-hour
2022-01,PA,Pennsylvania,IND,industrial,7.53,cents per kilowatt-hour
2022-12,MTN,Mountain,COM,commercial,10.14,cents per kilowatt-hour
2022-12,MTN,Mountain,IND,industrial,8.57,cents per kilowatt-hour
2022-12,PACC,Pacific Contiguous,COM,commercial,17.37,cents per kilowatt-hour
2022-12,PACC,Pacific Contiguous,IND,industrial,12.37,cents per kilowatt-hour
2022-07,TN,Tennessee,IND,industrial,7.52,cents per kilowatt-hour
2022-11,MO,Missouri,COM,commercial,9.31,cents per kilowatt-hour
2022-11,MO,Missouri,IND,industrial,7.1,cents per kilowatt-hour
2022-11,MT,Montana,COM,commercial,12.07,cents per kilowatt-hour
2022-11,MT,Montana,IND,industrial,7.67,cents per kilowatt-hour
2022-11,NE,Nebraska,COM,commercial,8.55,cents per kilowatt-hour
2022-11,NE,Nebraska,IND,industrial,6.94,cents per kilowatt-hour
2022-11,NV,Nevada,COM,commercial,10.59,cents per kilowatt-hour
2022-11,NV,Nevada,IND,industrial,8.24,cents per kilowatt-hour
2022-11,NH,New Hampshire,COM,commercial,20.14,cents per kilowatt-hour
2022-11,NH,New Hampshire,IND,industrial,14.99,cents per kilowatt-hour
2022-11,NJ,New Jersey,COM,commercial,13.04,cents per kilowatt-hour
2022-11,NJ,New Jersey,IND,industrial,11.59,cents per kilowatt-hour
2022-11,NM,New Mexico,COM,commercial,11.29,cents per kilowatt-hour
2022-11,NM,New Mexico,IND,industrial,7,cents per kilowatt-hour
2022-11,NY,New York,COM,commercial,17.78,cents per kilowatt-hour
2022-11,NY,New York,IND,industrial,7.09,cents per kilowatt-hour
2022-11,NC,North Carolina,COM,commercial,8.75,cents per kilowatt-hour
2022-11,NC,North Carolina,IND,industrial,6.09,cents per kilowatt-hour
2022-11,ND,North Dakota,COM,commercial,8.25,cents per kilowatt-hour
2022-11,ND,North Dakota,IND,industrial,7.28,cents per kilowatt-hour
2022-11,OH,Ohio,COM,commercial,10.61,cents per kilowatt-hour
2022-11,OH,Ohio,IND,industrial,7.36,cents per kilowatt-hour
2022-10,MO,Missouri,COM,commercial,9.13,cents per kilowatt-hour
2022-10,MO,Missouri,IND,industrial,7.1,cents per kilowatt-hour
2022-10,MT,Montana,COM,commercial,11.46,cents per kilowatt-hour
2022-10,MT,Montana,IND,industrial,6.89,cents per kilowatt-hour
2022-10,NE,Nebraska,COM,commercial,8.67,cents per kilowatt-hour
2022-10,NE,Nebraska,IND,industrial,7.14,cents per kilowatt-hour
2022-10,NV,Nevada,COM,commercial,10.51,cents per kilowatt-hour
2022-09,ENC,East North Central,IND,industrial,8.54,cents per kilowatt-hour
2022-09,WNC,West North Central,COM,commercial,10.97,cents per kilowatt-hour
2022-09,WNC,West North Central,IND,industrial,8.52,cents per kilowatt-hour
2022-09,SAT,South Atlantic,COM,commercial,11.35,cents per kilowatt-hour
2022-09,SAT,South Atlantic,IND,industrial,8.48,cents per kilowatt-hour
2022-09,ESC,East South Central,COM,commercial,12.79,cents per kilowatt-hour
2022-09,ESC,East South Central,IND,industrial,7.82,cents per kilowatt-hour
2023-07,MN,Minnesota,IND,industrial,9.5,cents per kilowatt-hour
2023-07,MS,Mississippi,COM,commercial,12.06,cents per kilowatt-hour
2023-07,MS,Mississippi,IND,industrial,6.78,cents per kilowatt-hour
2023-07,MO,Missouri,COM,commercial,11.75,cents per kilowatt-hour
2023-07,MO,Missouri,IND,industrial,8.91,cents per kilowatt-hour
2023-07,MT,Montana,COM,commercial,12.29,cents per kilowatt-hour
2023-07,MT,Montana,IND,industrial,8.29,cents per kilowatt-hour
2023-07,NE,Nebraska,COM,commercial,9.31,cents per kilowatt-hour
2023-07,NE,Nebraska,IND,industrial,8.23,cents per kilowatt-hour
2023-07,NV,Nevada,COM,commercial,12.59,cents per kilowatt-hour
2023-07,NV,Nevada,IND,industrial,12.21,cents per kilowatt-hour
2023-07,NH,New Hampshire,COM,commercial,19.75,cents per kilowatt-hour
2023-07,NH,New Hampshire,IND,industrial,15.28,cents per kilowatt-hour
2023-07,NJ,New Jersey,COM,commercial,14.89,cents per kilowatt-hour
2023-07,NJ,New Jersey,IND,industrial,12.53,cents per kilowatt-hour
2023-07,NM,New Mexico,COM,commercial,11.78,cents per kilowatt-hour
2023-07,NM,New Mexico,IND,industrial,5.73,cents per kilowatt-hour
2023-07,NY,New York,COM,commercial,19.69,cents per kilowatt-hour
2023-07,NY,New York,IND,industrial,7.02,cents per kilowatt-hour
2023-10,AL,Alabama,COM,commercial,13.14,cents per kilowatt-hour
2023-10,AL,Alabama,IND,industrial,7.23,cents per kilowatt-hour
2023-10,AK,Alaska,COM,commercial,20.87,cents per kilowatt-hour
2023-10,AK,Alaska,IND,industrial,17.91,cents per kilowatt-hour
2023-10,AZ,Arizona,COM,commercial,11.78,cents per kilowatt-hour
2023-10,AZ,Arizona,IND,industrial,7.79,cents per kilowatt-hour
2023-10,AR,Arkansas,COM,commercial,10.59,cents per kilowatt-hour
2023-10,AR,Arkansas,IND,industrial,6.93,cents per kilowatt-hour
2023-10,CA,California,COM,commercial,24.75,cents per kilowatt-hour
2023-10,CA,California,IND,industrial,20.15,cents per kilowatt-hour
2023-02,KY,Kentucky,COM,commercial,12.05,cents per kilowatt-hour
2023-02,KY,Kentucky,IND,industrial,7.19,cents per kilowatt-hour
2023-02,LA,Louisiana,COM,commercial,12.39,cents per kilowatt-hour
2023-02,LA,Louisiana,IND,industrial,7.24,cents per kilowatt-hour
2023-02,ME,Maine,COM,commercial,17.57,cents per kilowatt-hour
2023-02,ME,Maine,IND,industrial,11.94,cents per kilowatt-hour
2023-02,MD,Maryland,COM,commercial,14.12,cents per kilowatt-hour
2023-02,MD,Maryland,IND,industrial,10.29,cents per kilowatt-hour
2023-12,OK,Oklahoma,COM,commercial,8.47,cents per kilowatt-hour
2023-12,OK,Oklahoma,IND,industrial,5.79,cents per kilowatt-hour
2023-12,OR,Oregon,COM,commercial,9.69,cents per kilowatt-hour
2023-12,OR,Oregon,IND,industrial,7.3,cents per kilowatt-hour
2023-12,PA,Pennsylvania,COM,commercial,11.1,cents per kilowatt-hour
2023-12,PA,Pennsylvania,IND,industrial,7.67,cents per kilowatt-hour
2023-12,RI,Rhode Island,COM,commercial,20.16,cents per kilowatt-hour
2023-12,RI,Rhode Island,IND,industrial,19.83,cents per kilowatt-hour
2023-12,SC,South Carolina,COM,commercial,9.68,cents per kilowatt-hour
2023-12,SC,South Carolina,IND,industrial,6.63,cents per kilowatt-hour
2023-05,MN,Minnesota,COM,commercial,12.72,cents per kilowatt-hour
2023-05,MN,Minnesota,IND,industrial,8.9,cents per kilowatt-hour
2023-05,MS,Mississippi,COM,commercial,12.56,cents per kilowatt-hour
2023-05,MS,Mississippi,IND,industrial,6.78,cents per kilowatt-hour
2023-05,MO,Missouri,COM,commercial,9.55,cents per kilowatt-hour
2023-05,MO,Missouri,IND,industrial,7.52,cents per kilowatt-hour
2023-05,MT,Montana,COM,commercial,12.19,cents per kilowatt-hour
2023-05,MT,Montana,IND,industrial,5.14,cents per kilowatt-hour
2023-05,NE,Nebraska,COM,commercial,8.66,cents per kilowatt-hour
2023-05,NE,Nebraska,IND,industrial,7.44,cents per kilowatt-hour
2023-05,NV,Nevada,COM,commercial,11.48,cents per kilowatt-hour
2023-05,NV,Nevada,IND,industrial,9.14,cents per kilowatt-hour
2023-05,NH,New Hampshire,COM,commercial,20.41,cents per kilowatt-hour
2023-05,NH,New Hampshire,IND,industrial,15.22,cents per kilowatt-hour
2023-05,NJ,New Jersey,COM,commercial,14.09,cents per kilowatt-hour
2023-05,NJ,New Jersey,IND,industrial,11.2,cents per kilowatt-hour
2023-05,NM,New Mexico,COM,commercial,10.03,cents per kilowatt-hour
2023-05,NM,New Mexico,IND,industrial,5.69,cents per kilowatt-hour
2023-05,NY,New York,COM,commercial,16.36,cents per kilowatt-hour
2023-05,NY,New York,IND,industrial,6.87,cents per kilowatt-hour
2023-05,NC,North Carolina,COM,commercial,9.24,cents per kilowatt-hour
2023-05,NC,North Carolina,IND,industrial,6.45,cents per kilowatt-hour
2023-05,ND,North Dakota,COM,commercial,6.88,cents per kilowatt-hour
2023-05,ND,North Dakota,IND,industrial,7.31,cents per kilowatt-hour
2023-05,OH,Ohio,COM,commercial,10.96,cents per kilowatt-hour
2023-05,OH,Ohio,IND,industrial,6.94,cents per kilowatt-hour
2022-07,TX,Texas,COM,commercial,9.77,cents per kilowatt-hour
2022-07,TX,Texas,IND,industrial,8.64,cents per kilowatt-hour
2022-07,UT,Utah,COM,commercial,8.78,cents per kilowatt-hour
2022-07,UT,Utah,IND,industrial,6.85,cents per kilowatt-hour
2022-07,VT,Vermont,COM,commercial,17.18,cents per kilowatt-hour
2022-07,VT,Vermont,IND,industrial,11.77,cents per kilowatt-hour
2022-07,VA,Virginia,COM,commercial,9.88,cents per kilowatt-hour
2022-07,VA,Virginia,IND,industrial,8.36,cents per kilowatt-hour
2022-07,WA,Washington,COM,commercial,9.47,cents per kilowatt-hour
2022-07,WA,Washington,IND,industrial,5.84,cents per kilowatt-hour
2022-07,WV,West Virginia,COM,commercial,10.39,cents per kilowatt-hour
2022-07,TN,Tennessee,COM,commercial,12.68,cents per kilowatt-hour
2022-08,NY,New York,COM,commercial,19.96,cents per kilowatt-hour
2022-08,NY,New York,IND,industrial,8.48,cents per kilowatt-hour
